zinc_id,smiles
ZINC000038652209,CC/C=C\CCCCCCCO
ZINC000001866990,C(=N/c1ccccc1)\Nc1ccccc1
ZINC000169743064,CC(C)(C)[Si](C)(C)Cl
ZINC000004237795,Cc1cc(C)c(-n2cccc2)c(C)c1
ZINC000043321725,Cc1c(F)cccc1N=[N+]=[N-]
ZINC000000106039,O=C1CCSc2ccc(Cl)cc21
ZINC000001520032,Cc1ccc(-c2cscn2)cc1
ZINC000002033905,Clc1ccc(Cl)c(Cl)n1
ZINC000016159593,CCCCOc1cccc(F)c1F
ZINC000016382799,c1ccc2[s+]csc2c1
ZINC000033610757,CC(C)[C@H]1CC[C@@H](C)CC1=S
ZINC000001692498,CNc1cc(C(C)C)ccc1C
ZINC000035278617,CC[C@H](C)Sc1ccc(N)c(C)c1
ZINC000002571469,C=CC(=O)CCCCCCC
ZINC000000407613,Cc1ccc(-c2ccc(C#N)o2)cc1
ZINC000113270312,C=Cc1cccc(CBr)c1
ZINC000002172236,Cc1ccc(C(=O)C(C)(C)C)cc1
ZINC000000334061,O=Cc1sccc1-c1ccccc1
ZINC000001519035,c1ccc2[nH]c(-c3ccncc3)cc2c1
ZINC000005447554,CC(C)c1cccc2cccnc12
ZINC000070454269,CC1CCCCCCC1
ZINC000085835668,CCCCCCC[C@H]1CCCC(=O)O1
ZINC000166216377,CCCCC[C@@H](CC)CCCO
ZINC000013304896,C=C(C)[C@H]1CCC(C)=C(OC(C)=O)C1
ZINC000000167220,S=C=Nc1ccc(Cl)cc1
ZINC000002030900,CCCCCCOC(=O)[C@@H](C)CC
ZINC000001756689,CC1=C(C)C(C)C(C)=C1C
ZINC000095643265,Cc1c(N)cc(Cl)cc1C(C)C
ZINC000165909923,C[C@H](N=[N+]=[N-])c1ccc(F)cc1F
ZINC000000393620,C[C@@H](O)c1ccc(Cl)c(Cl)c1
ZINC000167763865,CCCCC[C@H](C)OC(=O)Cl
ZINC000001706194,Fc1ccccc1-c1ccccc1
ZINC000001902159,CCCCC/C=C/CC(=O)OCC
ZINC000004200370,Cc1ccc([C@@H](N)c2ccccc2)cc1
ZINC000013840548,Oc1ccc(-c2ccccc2)cc1F
ZINC000003732362,C1CCC(CC[C@@H]2CCCN2)CC1
ZINC000002528101,CC(C)CCC[C@H](C)N=C=S
ZINC000085541309,C/C=C(/C)C(C)(C)CC
ZINC000034589889,CCS[C@H]1CCNc2ccccc21
ZINC000001236437,Cc1ccc(-c2ccc(O)cc2)cc1
ZINC000001654197,C[C@H](O)c1ccccc1-c1ccccc1
ZINC000002045533,CC1=CC(=O)C[C@H](c2ccccc2)C1
ZINC000060249373,CCc1ccc(F)c(Cl)c1
ZINC000002547561,c1ccc(-c2ccc3[nH]ncc3c2)cc1
ZINC000095347903,N#Cc1ccc(F)c(Cl)c1Cl
ZINC000001673039,OC1CCC(C2CCCCC2)CC1
ZINC000019415363,N[C@H](CC1CCCC1)c1ccccc1
ZINC000095761721,ClCc1cc(Cl)ncc1Cl
ZINC000001555288,CN(Cc1ccccc1)c1ccccc1
ZINC000002512473,C/C=C(\C)CCCC
ZINC000000333509,CC(C)c1cc(N)cc(C(C)C)c1O
ZINC000000410250,C[C@@H](O)c1cc(Cl)ccc1Cl
ZINC000034112859,CCc1ccc(C(C)=O)cc1CC
ZINC000000570401,CC[C@@H](C)c1nc2ccccc2[nH]1
ZINC000001850988,C/C=C/CCCCCCCC=O
ZINC000033610756,CC(C)[C@@H]1CC[C@@H](C)CC1=S
ZINC000000967716,c1ccc(Nc2ccccc2)cc1
ZINC000140272167,CC[C@H](C)CC[C@H](CO)C(C)C
ZINC000060710875,O=C1CCC[C@H]1c1ccccc1Cl
ZINC000095883614,CC(C)(C#N)c1cccc(Cl)c1F
ZINC000083822337,C[C@H](CBr)C(C)(C)C
